Cst_short,Cst_lat,Cst_rus,HIP_center
And,Andromeda,Андромеда,5493
Ant,Antlia,Насос,48926
Aps,Apus,Райская Птица,81852
Aql,Aquila,Орёл,96468
Aqr,Aquarius,Водолей,110003
Ara,Ara,Жертвенник,85258
Ari,Aries,Овен,12640
Aur,Auriga,Возничий,28946
Boo,Bootes,Волопас,71406
Cae,Caelum,Резец,22144
Cam,Camelopardalis,Жираф,27795
Cap,Capricornus,Козерог,104365
Car,Carina,Киль,45101
Cas,Cassiopeia,Кассиопея,5566
Cen,Centaurus,Центавр,65144
Cep,Cepheus,Цефей,111532
Cet,Cetus,Кит,8230
Cha,Chamaeleon,Хамелеон,52633
Cir,Circinus,Циркуль,73129
CMa,Canis Major,Большой Пёс,33316
CMi,Canis Minor,Малый Пёс,37031
Cnc,Cancer,Рак,41909
Col,Columba,Голубь,27766
Com,Coma Berenices,Волосы Вероники,62886
CrA,Corona Australis,Южная Корона,90982
CrB,Corona Borealis,Северная Корона,77397
Crt,Crater,Чаша,55705
Cru,Crux,Южный Крест,60861
Crv,Corvus,Ворон,60189
CVn,Canes Venatici,Гончие Псы,64540
Cyg,Cygnus,Лебедь,102589
Del,Delphinus,Дельфин,101916
Dor,Dorado,Золотая Рыба,26069
Dra,Draco,Дракон,83895
Equ,Equuleus,Малый Конь,104357
Eri,Eridanus,Эридан,19037
For,Fornax,Печь,11477
Gem,Gemini,Близнецы,34182
Gru,Grus,Журавль,110506
Her,Hercules,Геркулес,84862
Hor,Horologium,Часы,16509
Hya,Hydra,Гидра,48615
Hyi,Hydrus,Южная Гидра,14131
Ind,Indus,Индеец,104085
Lac,Lacerta,Ящерица,111104
Leo,Leo,Лев,52911
Lep,Lepus,Заяц,25606
Lib,Libra,Весы,74600
LMi,Leo Minor,Малый Лев,51556
Lup,Lupus,Волк,75264
Lyn,Lynx,Рысь,38639
Lyr,Lyra,Лира,92833
Men,Mensa,Столовая Гора,26264
Mic,Microscopium,Микроскоп,103646
Mon,Monoceros,Единорог,34622
Mus,Musca,Муха,61199
Nor,Norma,Наугольник,78731
Oct,Octans,Октант,111196
Oph,Ophiuchus,Змееносец,83262
Ori,Orion,Орион,26885
Pav,Pavo,Павлин,96882
Peg,Pegasus,Пегас,110386
Per,Perseus,Персей,17529
Phe,Phoenix,Феникс,3949
Pic,Pictor,Живописец,26079
PsA,Piscis Austrinus,Южная Рыба,109422
Psc,Pisces,Рыбы,3675
Pup,Puppis,Корма,37819
Pyx,Pyxis,Компас,43352
Ret,Reticulum,Сетка,18772
Scl,Sculptor,Скульптор,2210
Sco,Scorpius,Скорпион,82396
Sct,Scutum,Щит,91105
Ser,Serpens,Змея,77257
Sex,Sextans,Секстант,50552
Sge,Sagitta,Стрела,96757
Sgr,Sagittarius,Стрелец,94643
Tau,Taurus,Телец,19261
Tel,Telescopium,Телескоп,93815
TrA,Triangulum Australe,Южный Треугольник,79797
Tri,Triangulum,Треугольник,10220
Tuc,Tucana,Тукан,118322
UMa,Ursa Major,Большая Медведица,55086
UMi,Ursa Minor,Малая Медведица,77055
Vel,Vela,Паруса,47175
Vir,Virgo,Дева,64238
Vol,Volans,Летучая Рыба,40834
Vul,Vulpecula,Лисичка,99951